id,label,created_at
baby_equipment_crib_high_chairs,"{""en"":""Baby equipment (crib, high chairs)"",""es"":""Equipamiento para bebé (cuna, tronas)"",""fr"":""Équipements bébé (lit, chaises hautes)""}",2026-01-24 19:57:11.976102+00
balinese_beds_and_berber_tent,"{""en"":""Balinese beds and Berber tent"",""es"":""Camas balinesas y tienda bereber"",""fr"":""Lits balinais et tente berbère""}",2026-01-24 19:57:11.976102+00
bar,"{""en"":""Bar"",""es"":""Bar"",""fr"":""Bar""}",2026-01-24 19:57:11.976102+00
billiards,"{""en"":""Billiards"",""es"":""Billar"",""fr"":""Billard""}",2026-01-24 19:57:11.976102+00
billiards_table_tennis_table_football_petanque,"{""en"":""Billiards, table tennis, table football, pétanque"",""es"":""Billar, ping-pong, futbolín, petanca"",""fr"":""Billard, ping-pong, baby-foot, pétanque""}",2026-01-24 19:57:11.976102+00
boules_court,"{""en"":""Boules court"",""es"":""Pista de petanca"",""fr"":""Boulodrome""}",2026-01-24 19:57:11.976102+00
caidal_tent,"{""en"":""Caïdal tent"",""es"":""Tienda caidal"",""fr"":""Tente caïdale""}",2026-01-24 19:57:11.976102+00
choice_of_double_or_single_beds,"{""en"":""Choice of double or single beds"",""es"":""Camas dobles o individuales a elegir"",""fr"":""Lits doubles ou simples au choix""}",2026-01-24 19:57:11.976102+00
double_beds_only,"{""en"":""Double beds only"",""es"":""Solo camas dobles"",""fr"":""Lits doubles uniquement""}",2026-01-24 19:57:11.976102+00
elevator,"{""en"":""Elevator"",""es"":""Ascensor"",""fr"":""Ascenseur""}",2026-01-24 19:57:11.976102+00
family_rooms_max_3_guests,"{""en"":""Family rooms (max. 3 guests)"",""es"":""Habitaciones familiares (máx. 3 huéspedes)"",""fr"":""Chambres familiales (max. 3 pers.)""}",2026-01-24 19:57:11.976102+00
family_rooms_min_3_guests,"{""en"":""Family rooms (min. 3 guests)"",""es"":""Habitaciones familiares (mín. 3 huéspedes)"",""fr"":""Chambres familiales (min. 3 pers.)""}",2026-01-24 19:57:11.976102+00
first_aid_kit,"{""en"":""First-aid kit"",""es"":""Botiquín de primeros auxilios"",""fr"":""Trousse de premiers secours""}",2026-01-24 19:57:11.976102+00
garden,"{""en"":""Garden"",""es"":""Jardín"",""fr"":""Jardin""}",2026-01-24 19:57:11.976102+00
giant_chess,"{""en"":""Giant chess"",""es"":""Ajedrez gigante"",""fr"":""Échecs géants""}",2026-01-24 19:57:11.976102+00
heated_hot_tub,"{""en"":""Heated hot tub"",""es"":""Jacuzzi climatizado"",""fr"":""Jacuzzi chauffé""}",2026-01-24 19:57:11.976102+00
hot_tub,"{""en"":""Hot tub"",""es"":""Jacuzzi"",""fr"":""Jacuzzi""}",2026-01-24 19:57:11.976102+00
hypoallergenic_rooms,"{""en"":""Hypoallergenic rooms"",""es"":""Habitaciones hipoalergénicas"",""fr"":""Chambres anti-allergie""}",2026-01-24 19:57:11.976102+00
in_room_massage_service,"{""en"":""In-room massage service"",""es"":""Servicio de masajes en la habitación"",""fr"":""Service massage en chambre""}",2026-01-24 19:57:11.976102+00
in_room_tv,"{""en"":""In-room TV"",""es"":""TV en la habitación"",""fr"":""TV en chambre""}",2026-01-24 19:57:11.976102+00
in_room_tv_kahana_only,"{""en"":""In-room TV (Kahana only)"",""es"":""TV en la habitación (solo Kahana)"",""fr"":""TV en chambre (Kahana uniquement)""}",2026-01-24 19:57:11.976102+00
individual_air_conditioning,"{""en"":""Individual air conditioning"",""es"":""Aire acondicionado individual"",""fr"":""Climatisation individuelle""}",2026-01-24 19:57:11.976102+00
