id,label,created_at
agdal,"{""en"":""⁠⁠Agdal"",""es"":""⁠⁠Agdal"",""fr"":""⁠⁠Agdal""}",2026-01-24 19:57:11.976102+00
bab_doukkala,"{""en"":""Bab Doukkala"",""es"":""Bab Doukkala"",""fr"":""Bab Doukkala""}",2026-01-24 19:57:11.976102+00
ben_youssef,"{""en"":""Ben Youssef"",""es"":""Ben Youssef"",""fr"":""Ben Youssef""}",2026-01-24 19:57:11.976102+00
dar_el_bacha,"{""en"":""⁠Dar El Bacha"",""es"":""⁠Dar El Bacha"",""fr"":""⁠Dar El Bacha""}",2026-01-24 19:57:11.976102+00
derb_dabachi,"{""en"":""Derb Dabachi"",""es"":""Derb Dabachi"",""fr"":""Derb Dabachi""}",2026-01-24 19:57:11.976102+00
derb_sidi_bou_amar,"{""en"":""Derb Sidi Bou Amar"",""es"":""Derb Sidi Bou Amar"",""fr"":""Derb Sidi Bou Amar""}",2026-01-24 19:57:11.976102+00
desert,"{""en"":""Désert"",""es"":""Désert"",""fr"":""Désert""}",2026-01-24 19:57:11.976102+00
essaouira_exterieurs,"{""en"":""Essaouira Exterieurs"",""es"":""Essaouira Exterieurs"",""fr"":""Essaouira Exterieurs""}",2026-01-24 19:57:11.976102+00
essaouira_medina,"{""en"":""Essaouira Medina"",""es"":""Essaouira Medina"",""fr"":""Essaouira Medina""}",2026-01-24 19:57:11.976102+00
exterior,"{""en"":""⁠Exterior"",""es"":""⁠Exterior"",""fr"":""⁠Exterieur""}",2026-03-13 09:29:54.398923+00
gueliz,"{""en"":""⁠Gueliz"",""es"":""⁠Gueliz"",""fr"":""⁠Gueliz""}",2026-01-24 19:57:11.976102+00
hay_essalam,"{""en"":""Hay Essalam"",""es"":""Hay Essalam"",""fr"":""Hay Essalam""}",2026-01-24 19:57:11.976102+00
kasbah,"{""en"":""Kasbah"",""es"":""Kasbah"",""fr"":""Kasbah""}",2026-01-24 19:57:11.976102+00
kennaria,"{""en"":""Kennaria"",""es"":""Kennaria"",""fr"":""Kennaria""}",2026-01-24 19:57:11.976102+00
mellah,"{""en"":""⁠Mellah"",""es"":""⁠Mellah"",""fr"":""⁠Mellah""}",2026-01-24 19:57:11.976102+00
montagne,"{""en"":""Montagne"",""es"":""Montagne"",""fr"":""Montagne""}",2026-01-24 19:57:11.976102+00
mouassine,"{""en"":""Mouassine"",""es"":""Mouassine"",""fr"":""Mouassine""}",2026-01-24 19:57:11.976102+00
ouarzazate_exterieurs,"{""en"":""Ouarzazate Exterieurs"",""es"":""Ouarzazate Exterieurs"",""fr"":""Ouarzazate Exterieurs""}",2026-01-24 19:57:11.976102+00
palmeraie,"{""en"":""⁠⁠Palmeraie"",""es"":""⁠⁠Palmeraie"",""fr"":""⁠⁠Palmeraie""}",2026-01-24 19:57:11.976102+00
rahba_kedina,"{""en"":""Rahba Kedina"",""es"":""Rahba Kedina"",""fr"":""Rahba Kedina""}",2026-01-24 19:57:11.976102+00
riad_laarous,"{""en"":""Riad Laarous"",""es"":""Riad Laarous"",""fr"":""Riad Laarous""}",2026-01-24 19:57:11.976102+00
sidi_ben_slimane,"{""en"":""Sidi Ben Slimane"",""es"":""Sidi Ben Slimane"",""fr"":""Sidi Ben Slimane""}",2026-01-24 19:57:11.976102+00
zitoun,"{""en"":""Zitoun"",""es"":""Zitoun"",""fr"":""Zitoun""}",2026-01-24 19:57:11.976102+00
