id,name,address,city_id,neighborhood_id,property_type_id,description,amenity_ids,service_ids,booking_condition_ids,extra_info,website,phone,email,longitude,latitude,rating_avg,reviews_count,image_urls,simple_booking_link,created_at
01770deb-4e31-404a-a518-422533b7b6ff,"{""en"":""Riad Kasbah Linah"",""es"":""Riad Kasbah Linah"",""fr"":""Riad Kasbah Linah""}","{""en"":""J54F+CQ, Ait Si Hammou, Marrakech 40000"",""es"":""J54F+CQ, Ait Si Hammou, Marrakech 40000"",""fr"":""J54F+CQ, Ait Si Hammou, Marrakech 40000""}",marrakech,montagne,kasbah,"{""en"":"""",""es"":"""",""fr"":""C´est un test ""}","[""parking"",""restaurant"",""air_conditioning"",""bar"",""billiards"",""choice_of_double_or_single_beds"",""elevator"",""garden"",""heated_hot_tub""]","[""breakfast"",""babysitting"",""24_hour_reception""]","[""deposit_required"",""free_cancel_48h""]","{""en"":"""",""es"":"""",""fr"":""""}",https://hospitalitywebservices.com/,+34567898765,testresa@gmail.com,-7.824810,31.606551,4.90,43,"[""https://nvskwcjdrrrcpyiadoxy.supabase.co/storage/v1/object/public/Dar_D_art/Double_Or_Twin_Room/room5.jpg"",""https://nvskwcjdrrrcpyiadoxy.supabase.co/storage/v1/object/public/Dar_D_art/Double_Or_Twin_Room/room5.jpg"",""https://nvskwcjdrrrcpyiadoxy.supabase.co/storage/v1/object/public/Dar_D_art/Double_Or_Twin_Room/room3.jpg"",""https://nvskwcjdrrrcpyiadoxy.supabase.co/storage/v1/object/public/Dar_D_art/Double_Or_Twin_Room/room4.jpg"",""https://base44.app/api/apps/69f10e36f5d3972acca5a916/files/mp/public/69f10e36f5d3972acca5a916/e0b59222f_Screenshot2026-04-29at165431.png""]",,2026-01-24 19:57:47.661076+00
0284c68a-40b2-451f-8038-28424a9a9f31,"{""en"":""Riad Sierra"",""es"":""Riad Sierra"",""fr"":""Riad Sierra""}","{""en"":""41 Derb Lalla Bent el Amri, Marrakesh 40000"",""es"":""41 Derb Lalla Bent el Amri, Marrakesh 40000"",""fr"":""41 Derb Lalla Bent el Amri, Marrakesh 40000""}",marrakech,ben_youssef,riad,"{""en"":""Riad Sierra is a characterful riad in the heart of Marrakech’s medina. The riad is built around a patio designed for relaxation. Its atmosphere is intimate and authentic, ideal for discovering Marrakech while enjoying a calm and refined setting."",""es"":""Riad Sierra est un Riad de caractère au cœur de la médina de Marrakech. Le Riad s’organise autour d’un patio propice au repos. L’atmosphère se veut intime et authentique, idéale pour découvrir Marrakech tout en profitant d’un cadre reposant et soigné."",""fr"":""Riad Sierra est un riad de caractère au cœur de la médina de Marrakech. Le riad s’organise autour d’un patio propice au repos. L’atmosphère se veut intime et authentique, idéale pour découvrir Marrakech tout en profitant d’un cadre reposant et soigné.""}",[],[],[],"{""en"":"""",""es"":"""",""fr"":""""}",https://riadsierra.com/,+212 662-895959,booking@riadsierra.com,-7.987520,31.634576,4.70,134,"[""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_sierra/671464428.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_sierra/663138810.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_sierra/663138747.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_sierra/671462394.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_sierra/671466488.jpg""]",,2026-01-24 19:57:47.661076+00
03647be7-78c5-4fe1-bd00-7ad745726657,"{""en"":""Riad Dar Elma"",""es"":""Riad Dar Elma"",""fr"":""Riad Dar Elma""}","{""en"":""81 Derb Sidi Bou Amar, Marrakesh 40000"",""es"":""81 Derb Sidi Bou Amar, Marrakesh 40000"",""fr"":""81 Derb Sidi Bou Amar, Marrakesh 40000""}",marrakech,derb_sidi_bou_amar,riad,"{""en"":""Riad Dar Elma is a characterful riad in the heart of Marrakech’s medina. The riad is built around a patio designed for relaxation. Its atmosphere is intimate and authentic, ideal for discovering Marrakech while enjoying a calm and refined setting."",""es"":""Riad Dar Elma est un Riad de caractère au cœur de la médina de Marrakech. Le Riad s’organise autour d’un patio propice au repos. L’atmosphère se veut intime et authentique, idéale pour découvrir Marrakech tout en profitant d’un cadre reposant et soigné."",""fr"":""Riad Dar Elma est un riad de caractère au cœur de la médina de Marrakech. Le riad s’organise autour d’un patio propice au repos. L’atmosphère se veut intime et authentique, idéale pour découvrir Marrakech tout en profitant d’un cadre reposant et soigné.""}","[""choice_of_double_or_single_beds"",""family_rooms_min_3_guests"",""individual_air_conditioning"",""baby_equipment_crib_high_chairs"",""safe"",""wifi"",""pool"",""spa_hammam"",""on_site_restaurant_guest_table"",""bar"",""rooftop"",""solarium"",""first_aid_kit"",""shared_lounge_tv_room"",""video_surveillance_common_areas_and_outdoors""]",[],[],"{""en"":"""",""es"":"""",""fr"":""""}",https://www.dar-elma.com/,+212 673 99 03 28,riaddarelma@gmail.com,-7.993871,31.634208,4.50,390,"[""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_dar_elma/419782895.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_dar_elma/419782570.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_dar_elma/331834617.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_dar_elma/72578822.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_dar_elma/72601146.jpg""]",,2026-01-24 19:57:47.661076+00
04a8bd46-d743-4988-87a7-26366ad96fee,"{""en"":""Riad Zineb 1 (Karmela)"",""es"":""Riad Zineb 1 (Karmela)"",""fr"":""Riad Zineb 1 (Karmela)""}","{""en"":""145 derb shemaa (el Kadi, Rue Azbezt, Marrakesh 40000"",""es"":""145 derb shemaa (el Kadi, Rue Azbezt, Marrakesh 40000"",""fr"":""145 derb shemaa (el Kadi, Rue Azbezt, Marrakesh 40000""}",marrakech,rahba_kedina,riad,"{""en"":""Riad Zineb 1 (Karmela) is a characterful riad in an authentic area of the medina. The riad is built around a patio designed for relaxation. Its atmosphere is intimate and authentic, ideal for discovering Marrakech while enjoying a calm and refined setting."",""es"":""Riad Zineb 1 (Karmela) est un Riad de caractère dans un quartier authentique de la médina. Le Riad s’organise autour d’un patio propice au repos. L’atmosphère se veut intime et authentique, idéale pour découvrir Marrakech tout en profitant d’un cadre reposant et soigné."",""fr"":""Riad Zineb 1 (Karmela) est un riad de caractère dans un quartier authentique de la médina. Le riad s’organise autour d’un patio propice au repos. L’atmosphère se veut intime et authentique, idéale pour découvrir Marrakech tout en profitant d’un cadre reposant et soigné.""}",[],[],[],"{""en"":"""",""es"":"""",""fr"":""""}",riadzineb.com,,,-7.984466,31.629332,4.70,2140,"[""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_Zineb_1/246051897.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_Zineb_1/246051918.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_Zineb_1/7373507.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_Zineb_1/7373665.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_Zineb_1/7373716.jpg""]",,2026-01-24 19:57:47.661076+00
0621dd9e-738a-44ea-ab2f-60311f1bde38,"{""en"":""Riad Al Jana"",""es"":""Riad Al Jana"",""fr"":""Riad Al Jana""}","{""en"":""6 Derb Si Moustapha, Marrakesh 40000"",""es"":""6 Derb Si Moustapha, Marrakesh 40000"",""fr"":""6 Derb Si Moustapha, Marrakesh 40000""}",marrakech,ben_youssef,riad,"{""en"":""Riad Al Jana is a characterful riad in an authentic area of the medina. The riad is built around a patio designed for relaxation. Its atmosphere is intimate and authentic, ideal for discovering Marrakech while enjoying a calm and refined setting."",""es"":""Riad Al Jana est un Riad de caractère dans un quartier authentique de la médina. Le Riad s’organise autour d’un patio propice au repos. L’atmosphère se veut intime et authentique, idéale pour découvrir Marrakech tout en profitant d’un cadre reposant et soigné."",""fr"":""Riad Al Jana est un riad de caractère dans un quartier authentique de la médina. Le riad s’organise autour d’un patio propice au repos. L’atmosphère se veut intime et authentique, idéale pour découvrir Marrakech tout en profitant d’un cadre reposant et soigné.""}","[""choice_of_double_or_single_beds"",""hypoallergenic_rooms"",""family_rooms_min_3_guests"",""individual_air_conditioning"",""safe"",""wifi"",""pool"",""on_site_restaurant_guest_table"",""rooftop"",""shared_lounge_tv_room"",""video_surveillance_common_areas_and_outdoors""]","[""breakfast_included"",""special_menus_gluten_free_vegan_etc"",""airport_shuttle"",""24_hour_reception"",""cleaning_service"",""ironing_service"",""luggage_storage""]","[""free_cancellation_depending_on_rate_plan"",""card_payment_terminal""]","{""en"":"""",""es"":"""",""fr"":""""}",https://www.riadaljana.com/en/,+212524426252,contact@riadaljana.com,-7.987380,31.633080,4.60,341,"[""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_al_jana/40.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_al_jana/05.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_al_jana/01.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_al_jana/30.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_al_jana/21.jpg""]",,2026-01-24 19:57:47.661076+00
06d2e450-b552-4db5-8a60-43912b53a2a3,"{""en"":""Riad El Noujoum"",""es"":""Riad El Noujoum"",""fr"":""Riad El Noujoum""}","{""en"":""Derb Ben zina, Kasbah, 50 D El Maâden, Marrakech 40000"",""es"":""Derb Ben zina, Kasbah, 50 D El Maâden, Marrakech 40000"",""fr"":""RDerb Ben zina, Kasbah, 50 D El Maâden, Marrakech 40000""}",marrakech,,riad,{},"[""choice_of_double_or_single_beds"",""family_rooms_min_3_guests"",""individual_air_conditioning"",""baby_equipment_crib_high_chairs"",""safe"",""wifi"",""pool"",""spa_hammam"",""on_site_restaurant_guest_table"",""rooftop"",""solarium"",""shared_lounge_tv_room"",""video_surveillance_common_areas_and_outdoors""]","[""breakfast_included"",""airport_shuttle"",""24_hour_reception"",""babysitting"",""excursions_desk"",""cleaning_service"",""ironing_service"",""non_smoking_rooms""]","[""free_cancellation_depending_on_rate_plan"",""card_payment_terminal""]",{},https://riadelnoujoum.com/,+212 670-505454,contact@riadelnoujoum.com,-7.986229,31.615347,,,"[""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_el_noujoum/Marwane_SOBAI_MG_1086.JPG"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_el_noujoum/Marwane_SOBAI_MG_1041.JPG"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_el_noujoum/Marwane_SOBAI_MG_0946.JPG"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_el_noujoum/Marwane_SOBAI_MG_0963.JPG"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_el_noujoum/Marwane_SOBAI_MG_1056.JPG""]",,2026-02-18 11:26:33.013374+00
075ec924-020c-480f-8144-dc3a7ede30c9,"{""en"":""Riad Dar Eternity"",""es"":""Riad Dar Eternity"",""fr"":""Riad Dar Eternity""}","{""en"":""Hay Ryad Laarouss, derb Lfaraka, 289 Derb Sidi Bou Amar, Marrakech 40000"",""es"":""Hay Ryad Laarouss, derb Lfaraka, 289 Derb Sidi Bou Amar, Marrakech 40000"",""fr"":""Hay Ryad Laarouss, derb Lfaraka, 289 Derb Sidi Bou Amar, Marrakech 40000""}",marrakech,derb_sidi_bou_amar,riad,"{""en"":""Beautifully and entirely restored by renowned architect Christophe Siméon, this riad from the early 19th century opened its doors in October 2019.\n\nIdeally located in the heart of the Marrakech Medina, Riad Dar Eternity is at the center of a triangle formed by Jemaa el Fna Square, the Majorelle Garden/YSL Museum, and the Ben Youssef Medersa, all within a 15-minute walk. The neighborhood is adjacent to the souks, and palaces are nearby.\n\nDiscover five charming guest rooms carefully decorated with refinement in the purest Moroccan tradition, around a pleasant patio featuring a pool for cooling off and several lounges, as well as a rooftop terrace with solarium and lounge areas.\n\nFor a serene stay, you have access to an airport shuttle service day and night, a restaurant offering the most delicious traditional cuisine, and a dedicated team available 24/7 to organize your outings and excursions in Marrakech and Morocco.\n\nWelcome to DAR ETERNITY!"",""es"":""Bellamente y completamente restaurado por el reconocido arquitecto Christophe Siméon, este riad de principios del siglo XIX abrió sus puertas en octubre de 2019.\n\nUbicado idealmente en el corazón de la Medina de Marrakech, el riad Dar Eternity se encuentra en el centro de un triángulo formado por la plaza Jemaa el Fna, el Jardín Majorelle/Museo YSL y la Medersa Ben Youssef, todos a 15 minutos a pie. El barrio está adjunto a los zocos y los palacios están cerca.\n\nDescubre cinco encantadoras habitaciones de huéspedes cuidadosamente decoradas con refinamiento en la más pura tradición marroquí, alrededor de un agradable patio que ofrece una piscina para refrescarse y varios salones, así como una terraza en la azotea con solárium y áreas de descanso.\n\nPara una estancia en total serenidad, dispone de un servicio de traslado al aeropuerto día y noche, un restaurante que ofrece la cocina tradicional más sabrosa y un equipo dedicado y disponible las 24 horas para organizar sus salidas y excursiones en Marrakech y Marruecos.\n\n¡Bienvenido a DAR ETERNITY!"",""fr"":""Magnifiquement et intégralement restauré par l’architecte de renom Christophe Siméon, ce riad du début du XIX ème siècle, a ouvert ses portes en octobre 2019.\n\nIdéalement situé au cœur de la Médina de Marrakech, le riad Dar Eternity est au centre d’un triangle constitué de la place Jemaa el Fna, du Jardin Majorelle/Musée YSL et de la Medersa Ben Youssef, et à 15 min à pied de chacun d’eux. Le quartier est adjacent aux souks et les palais sont à proximité.\n\nDécouvrez cinq chambres d’hôtes de charme soigneusement décorées avec raffinement dans la plus pure tradition marocaine, autour d’un agréable patio offrant un bassin pour se rafraîchir et plusieurs salons. Ainsi qu’un toit terrasse avec solarium et coins lounges.\n\nPour un séjour en toute sérénité, vous disposez d’un service de navette aéroport jour et nuit, d’un restaurant offrant une cuisine traditionnelle des plus savoureuses et d’une équipe dévouée et disponible 24h/24 pour organiser vos sorties et excursions à Marrakech et au Maroc.\n\nBienvenue au DAR ETERNITY !""}","[""choice_of_double_or_single_beds"",""hypoallergenic_rooms"",""individual_air_conditioning"",""safe"",""wifi"",""pool"",""on_site_restaurant_guest_table"",""bar"",""rooftop"",""garden"",""solarium"",""first_aid_kit"",""shared_lounge_tv_room"",""video_surveillance_common_areas_and_outdoors"",""hot_tub"",""family_rooms_max_3_guests"",""family_rooms_min_3_guests"",""massage_room"",""patio_fountain_shaded_relaxation_areas"",""piscine_chauffee"",""solarium_with_shower_and_greenery"",""spa_hammam"",""terrasse_transats_chauffage_climatisation_seche_cheveux_produits"",""traditional_moroccan_fountain""]","[""breakfast_included"",""special_menus_gluten_free_vegan_etc"",""airport_shuttle"",""on_site_or_nearby_parking"",""cooking_class"",""room_service"",""24_hour_reception"",""excursions_desk"",""cleaning_service"",""ironing_service"",""non_smoking_rooms"",""luggage_storage"",""bookings_golf"",""dinner"",""hammam"",""hammam_and_treatments"",""hammam_massages_craft_workshops"",""lunch"",""massage"",""massages"",""manicure"",""on_site_massages_and_treatments"",""parking_a_proximite"",""piscine_chauffee"",""private_hammam_scrubs_massages"",""restaurant"",""riad_for_exclusive_use"",""spa"",""spa_hammam_and_massage"",""wi_fi_gratuit_haut_debit_rooftop_terrasse_diners_et_dejeuner_a_la_demande_massages_bien_etre_sur_demande_organisation_d_excursions_privees"",""wifi""]","[""free_cancellation_depending_on_rate_plan"",""card_payment_terminal""]","{""en"":"""",""es"":"""",""fr"":""""}",https://www.dar-eternity.com/,+33686574952,contact@dar-eternity.com,-7.993017,31.633615,5.00,292,"[""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_dar_eternity/PATIO%201.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_dar_eternity/CHAMBRE%20WIDAD.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_dar_eternity/PXL_20220724_204005906.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_dar_eternity/PXL_20220715_122918102.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Riad_dar_eternity/PATIO.jpg"",""https://base44.app/api/apps/69f10e36f5d3972acca5a916/files/mp/public/69f10e36f5d3972acca5a916/924d01eaf_photo2.jpg"",""https://base44.app/api/apps/69f10e36f5d3972acca5a916/files/mp/public/69f10e36f5d3972acca5a916/aac56c66a_PXL_20220715_122911785.jpg""]",,2026-01-24 19:57:47.661076+00
089bee2f-7f83-4728-b82c-886a77728b01,"{""en"":""Riad Le Rihani"",""es"":""Riad Le Rihani"",""fr"":""Riad Le Rihani""}","{""en"":""52 Derb El Arsa, Marrakesh 40000"",""es"":""52 Derb El Arsa, Marrakesh 40000"",""fr"":""52 Derb El Arsa, Marrakesh 40000""}",marrakech,kennaria,riad,"{""en"":""Riad Le Rihani is a characterful riad in an authentic area of the medina. The riad is built around a patio designed for relaxation. Its atmosphere is intimate and authentic, ideal for discovering Marrakech while enjoying a calm and refined setting."",""es"":""Riad Le Rihani est un Riad de caractère dans un quartier authentique de la médina. Le Riad s’organise autour d’un patio propice au repos. L’atmosphère se veut intime et authentique, idéale pour découvrir Marrakech tout en profitant d’un cadre reposant et soigné."",""fr"":""Le Riad Le Rihani est un riad de caractère dans un quartier authentique de la médina. Le riad s’organise autour d’un patio, qui met en valeur la petite piscine centrale. L’atmosphère se veut intime et authentique.  \nDétendez-vous dans un transat, rafraichissez-vous dans l'eau ou savourez un dîner aux chandelles.  Le rooftop est le lieu idéal pour lézarder et prendre l'apéritif au coucher du soleil. \nLe spa propose des rituels de beauté. \nLe Rihani est également parfaitement positionné, à 5 minutes de la place Jemaa El Fna, localisation idéale pour découvrir Marrakech tout en profitant d’un cadre reposant et soigné.""}","[""choice_of_double_or_single_beds"",""family_rooms_min_3_guests"",""individual_air_conditioning"",""baby_equipment_crib_high_chairs"",""safe"",""wifi"",""tv_in_room"",""pool"",""spa_hammam"",""on_site_restaurant_guest_table"",""bar"",""rooftop"",""solarium"",""first_aid_kit"",""massage_room"",""patio_fountain_shaded_relaxation_areas"",""solarium_with_shower_and_greenery"",""moroccan_patio"",""library"",""in_room_tv""]","[""breakfast_included"",""special_menus_gluten_free_vegan_etc"",""airport_shuttle"",""room_service"",""24_hour_reception"",""excursions_desk"",""cleaning_service"",""ironing_service"",""non_smoking_rooms"",""luggage_storage"",""hammam_and_treatments"",""lunch"",""massage"",""on_site_massages_and_treatments"",""private_hammam_scrubs_massages"",""spa"",""spa_hammam_and_massage"",""restaurant"",""piscine_chauffee"",""pedicure"",""massages"",""manicure"",""hammam"",""dinner""]","[""free_cancellation_depending_on_rate_plan""]","{""en"":"""",""es"":"""",""fr"":""""}",riad-rihani.com,+212661328668,info@riad-rihani.com,-7.985662,31.625655,4.80,735,"[""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_Le_Rihani/117843323.jpg"",""https://base44.app/api/apps/69f10e36f5d3972acca5a916/files/mp/public/69f10e36f5d3972acca5a916/14dbf9c68_DSC_4165.jpg"",""https://base44.app/api/apps/69f10e36f5d3972acca5a916/files/mp/public/69f10e36f5d3972acca5a916/74d08dfe1_DSC_4179.jpg"",""https://base44.app/api/apps/69f10e36f5d3972acca5a916/files/mp/public/69f10e36f5d3972acca5a916/c3049df28_7V1A7997.jpg"",""https://base44.app/api/apps/69f10e36f5d3972acca5a916/files/mp/public/69f10e36f5d3972acca5a916/1da00dc71_7V1A8010.jpg"",""https://base44.app/api/apps/69f10e36f5d3972acca5a916/files/mp/public/69f10e36f5d3972acca5a916/14d587c8b_EC0A0381copy_websize.jpg"",""https://base44.app/api/apps/69f10e36f5d3972acca5a916/files/mp/public/69f10e36f5d3972acca5a916/4b6c0dea7_EC0A0445_websize.jpg"",""https://base44.app/api/apps/69f10e36f5d3972acca5a916/files/mp/public/69f10e36f5d3972acca5a916/cabc85569_7V1A8450.jpg"",""https://base44.app/api/apps/69f10e36f5d3972acca5a916/files/mp/public/69f10e36f5d3972acca5a916/5019f9316_7V1A8496.jpg"",""https://base44.app/api/apps/69f10e36f5d3972acca5a916/files/mp/public/69f10e36f5d3972acca5a916/c5df32103_7V1A8436.jpg""]",,2026-01-24 19:57:47.661076+00
09c91b3a-b1a8-4f1f-82cb-c11dbeb9cf81,"{""en"":""Maison La Chèvre"",""es"":""Maison La Chèvre"",""fr"":""Maison La Chèvre""}","{""en"":""Sidi Kaouki"",""es"":""Sidi Kaouki"",""fr"":""Sidi Kaouki""}",essaouira,essaouira_exterieurs,guesthouse,"{""en"":""Maison La Chèvre is a characterful riad in the heart of Marrakech’s medina. The riad is built around a patio designed for relaxation. Its atmosphere is intimate and authentic, ideal for discovering Marrakech while enjoying a calm and refined setting."",""es"":""Maison La Chèvre est un Riad de caractère au cœur de la médina de Marrakech. Le Riad s’organise autour d’un patio propice au repos. L’atmosphère se veut intime et authentique, idéale pour découvrir Marrakech tout en profitant d’un cadre reposant et soigné."",""fr"":""Maison La Chèvre est un riad de caractère au cœur de la médina de Marrakech. Le riad s’organise autour d’un patio propice au repos. L’atmosphère se veut intime et authentique, idéale pour découvrir Marrakech tout en profitant d’un cadre reposant et soigné.""}","[""choice_of_double_or_single_beds"",""wifi"",""heated_pool"",""spa_hammam"",""on_site_restaurant_guest_table"",""garden"",""solarium"",""first_aid_kit"",""shared_lounge_tv_room"",""family_rooms_4_guests"",""massage_room"",""piscine_chauffee"",""pool""]","[""on_site_or_nearby_parking"",""24_hour_reception"",""non_smoking_rooms"",""spa_hammam_and_massage"",""hammam_and_treatments"",""lunch"",""massage"",""on_site_massages_and_treatments"",""private_hammam_scrubs_massages"",""piscine_chauffee"",""massages"",""dinner"",""cooking_class"",""hammam"",""airport_shuttle"",""special_menus_gluten_free_vegan_etc"",""wifi""]","[""free_cancellation_depending_on_rate_plan"",""booking_without_a_credit_card"",""card_payment_terminal""]","{""en"":"""",""es"":"""",""fr"":""""}",maisonlachevre.com,+212700746323,hello@maisonlachevre.com,-9.710094,31.430913,4.80,49,"[""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Maison_La_Chevre/vu-de-la-maison-et-la.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Maison_La_Chevre/IMG-7206.png"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Maison_La_Chevre/qk9hz8zirgs9oonthovp.png"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Maison_La_Chevre/jdk4ywmjehu7jepetf4r.png"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/Maison_La_Chevre/espace-exterieur-pour.jpg""]",,2026-01-24 19:57:47.661076+00
0a03efd1-12e3-46d2-a005-e76cd36eeac2,"{""en"":""Riad Dar Zaman"",""es"":""Riad Dar Zaman"",""fr"":""Riad Dar Zaman""}","{""en"":""29 Derb Bouelilou, Marrakesh 40000"",""es"":""29 Derb Bouelilou, Marrakesh 40000"",""fr"":""29 Derb Bouelilou, Marrakesh 40000""}",marrakech,sidi_ben_slimane,riad,"{""en"":""Riad Dar Zaman is a characterful riad in an authentic area of the medina. The riad is built around a patio designed for relaxation. Its atmosphere is intimate and authentic, ideal for discovering Marrakech while enjoying a calm and refined setting."",""es"":""Riad Dar Zaman est un Riad de caractère dans un quartier authentique de la médina. Le Riad s’organise autour d’un patio propice au repos. L’atmosphère se veut intime et authentique, idéale pour découvrir Marrakech tout en profitant d’un cadre reposant et soigné."",""fr"":""Riad Dar Zaman est un riad de caractère dans un quartier authentique de la médina. Le riad s’organise autour d’un patio propice au repos. L’atmosphère se veut intime et authentique, idéale pour découvrir Marrakech tout en profitant d’un cadre reposant et soigné.""}","[""choice_of_double_or_single_beds"",""individual_air_conditioning"",""safe"",""wifi"",""pool"",""on_site_restaurant_guest_table"",""rooftop"",""garden"",""first_aid_kit"",""shared_lounge_tv_room"",""video_surveillance_common_areas_and_outdoors""]","[""breakfast_included"",""special_menus_gluten_free_vegan_etc"",""airport_shuttle"",""on_site_or_nearby_parking"",""cooking_class"",""24_hour_reception"",""excursions_desk"",""cleaning_service"",""ironing_service"",""non_smoking_rooms"",""luggage_storage""]","[""free_cancellation_depending_on_rate_plan"",""card_payment_terminal""]","{""en"":"""",""es"":"""",""fr"":""""}",https://www.darzaman.co.uk/,+212611266998,info@darzaman.com,-7.990673,31.636001,4.90,813,"[""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_dar_zaman/FullSizeRender_141.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_dar_zaman/FullSizeRender_185.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_dar_zaman/chambre_douiria.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_dar_zaman/FullSizeRender.jpg"",""https://dzuwwfttnigeisicqyto.supabase.co/storage/v1/object/public/riadsimages/riad_dar_zaman/marrakech-riad-vegan.jpg""]",,2026-01-24 19:57:47.661076+00
