id,label,created_at
24_hour_reception,"{""en"":""24-hour reception"",""es"":""Recepción 24 horas"",""fr"":""Réception 24h/24""}",2026-01-24 19:57:11.976102+00
airport_shuttle,"{""en"":""Airport shuttle"",""es"":""Traslado al aeropuerto"",""fr"":""Navette aéroport""}",2026-01-24 19:57:11.976102+00
babysitting,"{""en"":""Babysitting"",""es"":""Canguro"",""fr"":""Baby-sitting""}",2026-01-24 19:57:11.976102+00
bookings_golf,"{""en"":""Bookings (golf)"",""es"":""Reservas (golf)"",""fr"":""Réservations (golf)""}",2026-01-24 19:57:11.976102+00
breakfast_included,"{""en"":""Breakfast included"",""es"":""Desayuno incluido"",""fr"":""Petit-déjeuner inclus""}",2026-01-24 19:57:11.976102+00
business_services_meeting_reception_room,"{""en"":""Business services (meeting/reception room)"",""es"":""Servicios de negocios (sala de reuniones/recepción)"",""fr"":""Services d’affaires (salle de réunion/réception)""}",2026-01-24 19:57:11.976102+00
cleaning_service,"{""en"":""Cleaning service"",""es"":""Servicio de limpieza"",""fr"":""Service de nettoyage""}",2026-01-24 19:57:11.976102+00
cooking_class,"{""en"":""Cooking class"",""es"":""Clase de cocina"",""fr"":""Cours de cuisine""}",2026-01-24 19:57:11.976102+00
currency_exchange,"{""en"":""Currency exchange"",""es"":""Cambio de divisas"",""fr"":""Service de change (devises)""}",2026-01-24 19:57:11.976102+00
dinner,"{""en"":""Dinner"",""es"":""Cena"",""fr"":""Dîner""}",2026-01-24 19:57:11.976102+00
excursions_desk,"{""en"":""Excursions desk"",""es"":""Mostrador de excursiones"",""fr"":""Bureau d’excursions""}",2026-01-24 19:57:11.976102+00
hammam,"{""en"":""Hammam"",""es"":""Hammam"",""fr"":""Hammam""}",2026-01-24 19:57:11.976102+00
hammam_and_treatments,"{""en"":""Hammam and treatments"",""es"":""Hammam y tratamientos"",""fr"":""Hammam et soins""}",2026-01-24 19:57:11.976102+00
hammam_massages_craft_workshops,"{""en"":""Hammam, massages, craft workshops"",""es"":""Hammam, masajes, talleres artesanales"",""fr"":""Hammam, massages, ateliers artisanaux""}",2026-01-24 19:57:11.976102+00
ironing_service,"{""en"":""Ironing service"",""es"":""Servicio de planchado"",""fr"":""Service de repassage""}",2026-01-24 19:57:11.976102+00
luggage_storage,"{""en"":""Luggage storage"",""es"":""Consigna de equipaje"",""fr"":""Bagagerie""}",2026-01-24 19:57:11.976102+00
lunch,"{""en"":""Lunch"",""es"":""Almuerzo"",""fr"":""Déjeuner""}",2026-01-24 19:57:11.976102+00
manicure,"{""en"":""Manicure"",""es"":""Manicura"",""fr"":""Manucure""}",2026-01-24 19:57:11.976102+00
massage,"{""en"":""Massage"",""es"":""Masaje"",""fr"":""Massage""}",2026-01-24 19:57:11.976102+00
